name;line_id;station_id;Geo Shape;type;num_docks_available;is_installed;date_installed;price;price_navigo;web;project_owner;zdcld;zdcname;insee_code;municipality;x_long;y_lat;Geo Point;Column 45
ABLON;RER C;204;"{""coordinates"": [2.418465753, 48.7250252], ""type"": ""Point""}";abri;12;true;2020;;NC;NC;Département - Val-de-Marne;69554;Ablon;94001;Ablon-sur-Seine;2.418465753;48.7250252;48.7250252, 2.418465753;
ABLON;RER C;205;"{""coordinates"": [2.419174836, 48.72556563], ""type"": ""Point""}";abri;12;true;2020;;NC;NC;Département - Val-de-Marne;69554;Ablon;94001;Ablon-sur-Seine;2.419174836;48.72556563;48.72556563, 2.419174836;
ANTONY;RER B;658;"{""coordinates"": [2.301776014, 48.75557174], ""type"": ""Point""}";abri;28;true;2023;;NC;NC;EPT - Vallée Sud Grand Paris;69759;Antony;92002;Antony;2.301776014;48.75557174;48.75557174, 2.301776014;
AUBERGENVILLE-ELISABETHVILLE;RER E,TRAIN J;272;"{""coordinates"": [1.848916, 48.9720556], ""type"": ""Point""}";consigne;20;true;2023;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;65490;Aubergenville Élisabethville;78029;Aubergenville;1.848916;48.9720556;48.9720556, 1.848916;
BERAULT;METRO 1;72;"{""coordinates"": [2.431049321, 48.84520367], ""type"": ""Point""}";abri;12;true;2023;;NC;NC;RATP;71650;Bérault;94080;Vincennes;2.431049321;48.84520367;48.84520367, 2.431049321;
BOIS-LE-ROI;TRAIN R;807;"{""coordinates"": [2.692119, 48.47569], ""type"": ""Point""}";abri;24;true;2024;;NC;NC;SNCF;61727;Bois-le-Roi;77037;Bois-le-Roi;2.692119;48.47569;48.47569, 2.692119;
BOISSY-SAINT-LEGER;RER A;663;"{""coordinates"": [2.505649153, 48.7531892], ""type"": ""Point""}";consigne;32;true;2022;30 €;0 €;https://ratp-parking-velos.iledefrance-mobilites.fr/;RATP;72881;Boissy-Saint-Léger;94004;Boissy-Saint-Léger;2.505649153;48.7531892;48.7531892, 2.505649153;
BOURG-LA-REINE;RER B;566;"{""coordinates"": [2.312568, 48.779813], ""type"": ""Point""}";consigne;154;true;2022;30 €;0 €;https://abris-velos.valleesud.fr/accueil;EPT - Vallée Sud Grand Paris;70033;Bourg-la-Reine;92014;Bourg-la-Reine;2.312568;48.779813;48.779813, 2.312568;
BRETIGNY;RER C;3;"{""coordinates"": [2.3027, 48.607], ""type"": ""Point""}";consigne;40;true;2016;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;60247;Brétigny;91103;Brétigny-sur-Orge;2.3027;48.607;48.607, 2.3027;
PONTHIERRY-PRINGY;RER D;769;"{""coordinates"": [2.545206, 48.53474], ""type"": ""Point""}";consigne;20;true;2024;30 €;0 €;https://diwio.com/melun-parking-velos-iledefrance-mobilites;IDFM;61976;Ponthierry - Pringy;77407;Saint-Fargeau-Ponthierry;2.545206;48.53474;48.53474, 2.545206;
BRUNOY;RER D;77;"{""coordinates"": [2.5068, 48.6986], ""type"": ""Point""}";consigne;40;true;2018;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;67476;Brunoy;91114;Brunoy;2.5068;48.6986;48.6986, 2.5068;
PONTHIERRY-PRINGY;RER D;770;"{""coordinates"": [2.545151, 48.534748], ""type"": ""Point""}";abri;12;true;2024;;NC;NC;IDFM;61976;Ponthierry - Pringy;77407;Saint-Fargeau-Ponthierry;2.545151;48.534748;48.534748, 2.545151;
BUSSY-SAINT-GEORGES;RER A;188;"{""coordinates"": [2.7108676, 48.8368233], ""type"": ""Point""}";consigne;80;true;2024;30 €;0 €;https://portail.cykleo.fr/park_marne_et_gondoire;CA - Marne et Gondoire;68105;Bussy-Saint-Georges;77058;Bussy-Saint-Georges;2.7108676;48.8368233;48.8368233, 2.7108676;
CHAMPLAN;TRAM 12;611;"{""coordinates"": [2.280821, 48.707884], ""type"": ""Point""}";abri;16;true;2024;;NC;NC;SNCF;99999019;CHAMPLAN;91136;Champlan;2.280821;48.707884;48.707884, 2.280821;
CHARENTON - ECOLES;METRO 8;247;"{""coordinates"": [2.414367236, 48.82152376], ""type"": ""Point""}";abri;10;true;2019;;NC;NC;RATP;70648;Charenton - Écoles;94018;Charenton-le-Pont;2.414367236;48.82152376;48.82152376, 2.414367236;
CLICHY - MONTFERMEIL;TRAM 4;285;"{""coordinates"": [2.554349, 48.904478], ""type"": ""Point""}";abri;24;true - non labellisé;2021;;NC;NC;IDFM;477278;Clichy - Montfermeil;93014;Clichy-sous-Bois;2.554349;48.904478;48.904478, 2.554349;
CORBEIL-ESSONNES;RER D;7;"{""coordinates"": [2.4734, 48.6134], ""type"": ""Point""}";consigne;56;true;2012;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;60309;Corbeil-Essonnes;91174;Corbeil-Essonnes;2.4734;48.6134;48.6134, 2.4734;
CORMEILLES-EN-PARISIS;TRAIN J;156;"{""coordinates"": [2.192752094, 48.96788411], ""type"": ""Point""}";abri;20;true;2016;;NC;NC;CA - Val Parisis;65399;Cormeilles-en-Parisis;95176;Cormeilles-en-Parisis;2.192752094;48.96788411;48.96788411, 2.192752094;
CRETEIL-POMPADOUR;RER D;9;"{""coordinates"": [2.4352, 48.772], ""type"": ""Point""}";consigne;40;true;2016;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;69950;Créteil Pompadour;94028;Créteil;2.4352;48.772;48.772, 2.4352;
CRETEIL-UNIVERSITE;METRO 8;253;"{""coordinates"": [2.450282, 48.789524], ""type"": ""Point""}";abri;12;true;2020;;NC;NC;RATP;70172;Créteil - Université;94028;Créteil;2.450282;48.789524;48.789524, 2.450282;
CROIX-DE-CHAVAUX;METRO 9;569;"{""coordinates"": [2.436772, 48.858177], ""type"": ""Point""}";abri;34;true;2019;;NC;NC;Montreuil;71756;Croix de Chavaux;93048;Montreuil;2.436772;48.858177;48.858177, 2.436772;
DAMMARTIN-JUILLY-SAINT-MARD;TRAIN K;198;"{""coordinates"": [2.699453021, 49.0325741], ""type"": ""Point""}";abri;20;true;2020;;NC;NC;SNCF;69254;Dammartin - Juilly - Saint-Mard;77420;Saint-Mard;2.699453021;49.0325741;49.0325741, 2.699453021;
DRANCY;RER B;227;"{""coordinates"": [2.454766347, 48.93270621], ""type"": ""Point""}";abri;6;true;2021;;NC;NC;SNCF;72652;Drancy;93029;Drancy;2.454766347;48.93270621;48.93270621, 2.454766347;
EMERAINVILLE-PONTAULT-COMBAULT;RER E;173;"{""coordinates"": [2.618525343, 48.80679239], ""type"": ""Point""}";consigne;20;true;2018;30 €;0 €;https://portail.cykleo.fr/veligo_agglo_pvm;CA - Paris Vallée de la Marne;67897;Émerainville - Pontault-Combault;77169;Émerainville;2.618525343;48.80679239;48.80679239, 2.618525343;
ENGHIEN-LES-BAINS;TRAIN H;228;"{""coordinates"": [2.3075, 48.9731], ""type"": ""Point""}";consigne;40;true;2019;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;65485;Enghien-les-Bains;95210;Enghien-les-Bains;2.3075;48.9731;48.9731, 2.3075;
